#{"t_start": 1754154283.9186153, "env_id": "None"}
r,l,t
2410.984823,89,1.174003
2298.261547,91,1.205892
3325.318566,137,1.221868
2613.564921,104,1.253834
2901.742356,117,1.269724
3468.546013,131,1.301769
3852.948752,148,1.334647
2805.744978,111,1.357439
3281.830811,145,1.523528
3438.849432,200,1.76522
3101.414303,200,2.028334
2465.57383,200,2.27674
2530.094172,200,2.52661
2367.96727,200,2.790372
1458.207713,200,3.043631
1487.381257,200,3.295605
1226.125408,200,3.546824
3698.132044,200,3.810983
6898.033005,200,4.078942
7097.052315,200,4.329536
7132.629141,200,4.594201
6988.90718,200,4.885328
6885.76275,200,5.1802
7149.98768,200,5.484599
7098.861811,200,5.805699
7065.242032,200,6.113
7083.146812,200,6.395183
7022.630042,200,6.675574
7000.750252,200,7.327883
7011.434249,200,7.609269
7102.231666,200,7.87767
7023.001727,200,8.144232
6982.99643,200,8.409531
7040.041655,200,8.694186
7223.195945,200,8.95983
6981.5261,200,9.225277
7113.205413,200,9.475153
6970.355034,200,9.768243
6916.126128,200,10.068585
6958.035431,200,10.328013
7084.704566,200,10.611117
6986.403292,200,10.915665
6971.037028,200,11.175997
7071.666845,200,11.495093
7021.953236,200,11.8191
6988.443007,200,12.091492
7105.613125,200,12.374188
6976.350229,200,12.658562
7133.991845,200,12.934999
6862.529999,200,13.223344
7074.153033,200,13.507447
7015.768195,200,13.79036
7151.388214,200,14.073755
6962.277478,200,14.75845
7152.622342,200,15.057512
7062.314107,200,15.3261
6988.517398,200,15.590476
7186.138896,200,15.858479
7006.533282,200,16.135372
6842.336088,200,16.391669
7096.458361,200,16.658696
7029.00928,200,16.907459
7040.369898,200,17.173445
7102.222532,200,17.440974
7023.242398,200,17.705507
6922.907835,200,17.972491
7006.350308,200,18.227657
6825.765103,200,18.488958
6997.670351,200,18.738942
7172.512094,200,19.001622
7156.000763,200,19.268134
6933.884318,200,19.507923
7001.266579,200,19.771838
6769.117546,200,20.035778
6931.023556,200,20.286611
7073.948839,200,20.553916
7204.700323,200,20.802032
7075.381092,200,21.067862
7036.372737,200,21.634455
7083.143713,200,21.884391
6996.04256,200,22.153857
6823.626676,200,22.403793
6999.391426,200,22.668591
6937.863694,200,22.921754
7061.00071,200,23.168362
6920.125286,200,23.419884
7149.15766,200,23.685421
6947.457704,200,23.937723
7031.302692,200,24.198589
6949.394256,200,24.451161
7175.411878,200,24.699071
6991.128235,200,24.951682
7156.846207,200,25.201428
7054.563482,200,25.467
6905.121901,200,25.740918
6999.166284,200,26.014435
7173.562831,200,26.268491
7035.42247,200,26.527169
7052.252246,200,26.782979
7103.621477,200,27.033855
6982.849929,200,27.283058
7204.074267,200,27.535714
7117.375919,200,27.790738
7219.290099,200,28.348549
7078.643285,200,28.599917
7079.454288,200,28.858505
7182.932809,200,29.101433
7043.259524,200,29.366832
7167.920886,200,29.612
7156.369035,200,29.865674
7031.547672,200,30.112433
7236.371599,200,30.364
6943.057778,200,30.620012
7232.053271,200,30.866091
7211.08138,200,31.126245
7084.334366,200,31.380387
6934.260126,200,31.643175
6915.203262,200,31.8971
6998.608177,200,32.132056
6989.160511,200,32.379612
6973.861384,200,32.629827
7031.329619,200,32.896502
7041.335956,200,33.130353
7047.227564,200,33.380626
7098.517976,200,33.629803
7065.767142,200,33.881237
7067.370862,200,34.144596
6953.3872,200,34.399071
